iter	Passed	Remaining
0	191	191764
1	279	139363
2	364	121013
3	470	117065
4	568	113220
5	667	110608
6	771	109407
7	876	108731
8	983	108301
9	1090	107968
10	1205	108377
11	1317	108483
12	1431	108674
13	1541	108597
14	1660	109042
15	1773	109057
16	1877	108563
17	1966	107263
18	2054	106099
19	2146	105170
20	2226	103818
21	2306	102540
22	2386	101383
23	2468	100377
24	2554	99639
25	2635	98723
26	2727	98292
27	2815	97754
28	2892	96864
29	2979	96350
30	3064	95804
31	3152	95376
32	3238	94906
33	3325	94497
34	3413	94120
35	3509	93966
36	3588	93407
37	3672	92979
38	3757	92600
39	3848	92365
40	3932	91980
41	4011	91496
42	4090	91041
43	4171	90639
44	4255	90304
45	4337	89964
46	4419	89610
47	4502	89307
48	4593	89148
49	4689	89101
50	4786	89067
51	4891	89172
52	4997	89300
53	5109	89511
54	5230	89868
55	5358	90332
56	5475	90587
57	5597	90909
58	5715	91154
59	5825	91270
60	5916	91082
61	6004	90849
62	6089	90572
63	6176	90327
64	6282	90364
65	6391	90443
66	6476	90183
67	6561	89929
68	6648	89705
69	6732	89440
70	6819	89224
71	6903	88974
72	6984	88699
73	7066	88424
74	7162	88334
75	7259	88259
76	7365	88295
77	7459	88173
78	7537	87877
79	7626	87709
80	7715	87534
81	7816	87506
82	7904	87326
83	7996	87199
84	8074	86918
85	8161	86743
86	8250	86587
87	8336	86397
88	8421	86197
89	8513	86082
90	8601	85919
91	8691	85780
92	8786	85687
93	8888	85666
94	8990	85647
95	9095	85648
96	9193	85586
97	9299	85594
98	9399	85548
99	9502	85520
100	9611	85548
101	9724	85609
102	9825	85563
103	9909	85372
104	9990	85153
105	10075	84974
106	10160	84797
107	10245	84621
108	10331	84452
109	10414	84264
110	10497	84074
111	10581	83894
112	10661	83688
113	10741	83483
114	10831	83356
115	10920	83222
116	11018	83155
117	11115	83084
118	11225	83109
119	11331	83098
120	11422	82975
121	11507	82819
122	11599	82704
123	11686	82559
124	11780	82462
125	11866	82312
126	11959	82209
127	12038	82014
128	12122	81847
129	12204	81675
130	12286	81506
131	12373	81362
132	12451	81171
133	12532	80993
134	12616	80836
135	12730	80873
136	12844	80907
137	12954	80916
138	13072	80974
139	13189	81024
140	13301	81033
141	13421	81094
142	13531	81095
143	13644	81110
144	13756	81116
145	13857	81057
146	13945	80920
147	14052	80899
148	14148	80806
149	14237	80679
150	14323	80531
151	14409	80389
152	14492	80232
153	14573	80057
154	14658	79914
155	14741	79755
156	14827	79615
157	14921	79517
158	15002	79351
159	15089	79221
160	15177	79090
161	15256	78920
162	15338	78760
163	15428	78647
164	15524	78562
165	15614	78450
166	15704	78333
167	15803	78267
168	15889	78131
169	15972	77981
170	16064	77882
171	16161	77799
172	16248	77673
173	16339	77565
174	16428	77446
175	16520	77345
176	16633	77341
177	16735	77285
178	16848	77276
179	16967	77296
180	17080	77287
181	17200	77308
182	17306	77266
183	17418	77246
184	17539	77268
185	17655	77266
186	17766	77240
187	17856	77126
188	17951	77032
189	18051	76954
190	18150	76876
191	18254	76821
192	18344	76706
193	18430	76572
194	18515	76435
195	18604	76315
196	18687	76171
197	18774	76045
198	18859	75913
199	18958	75833
200	19056	75750
201	19154	75669
202	19244	75556
203	19351	75507
204	19439	75387
205	19545	75335
206	19630	75203
207	19713	75061
208	19801	74943
209	19895	74845
210	19980	74713
211	20066	74587
212	20149	74449
213	20230	74304
214	20309	74152
215	20398	74037
216	20482	73906
217	20574	73803
218	20662	73686
219	20759	73600
220	20858	73522
221	20969	73487
222	21072	73422
223	21185	73393
224	21298	73361
225	21409	73323
226	21523	73292
227	21644	73287
228	21759	73260
229	21854	73164
230	21935	73023
231	22019	72892
232	22104	72763
233	22191	72643
234	22276	72516
235	22361	72391
236	22444	72258
237	22530	72136
238	22610	71993
239	22702	71891
240	22787	71766
241	22878	71659
242	22962	71533
243	23049	71416
244	23134	71293
245	23219	71168
246	23311	71067
247	23399	70953
248	23486	70838
249	23581	70745
250	23663	70613
251	23750	70498
252	23843	70400
253	23937	70304
254	24019	70174
255	24103	70051
256	24197	69956
257	24282	69835
258	24368	69719
259	24456	69607
260	24537	69475
261	24624	69363
262	24722	69280
263	24823	69203
264	24940	69174
265	25058	69146
266	25164	69085
267	25277	69041
268	25395	69012
269	25510	68973
270	25631	68949
271	25745	68905
272	25844	68823
273	25933	68715
274	26020	68599
275	26111	68496
276	26197	68379
277	26285	68265
278	26371	68149
279	26463	68049
280	26550	67934
281	26628	67799
282	26717	67690
283	26796	67557
284	26880	67437
285	26966	67321
286	27052	67207
287	27151	67125
288	27248	67036
289	27361	66987
290	27466	66920
291	27557	66817
292	27641	66698
293	27729	66587
294	27815	66475
295	27907	66375
296	27990	66254
297	28069	66122
298	28149	65995
299	28229	65869
300	28308	65740
301	28392	65621
302	28471	65493
303	28559	65387
304	28651	65287
305	28753	65211
306	28857	65140
307	28966	65080
308	29069	65007
309	29177	64944
310	29279	64866
311	29391	64812
312	29502	64753
313	29609	64688
314	29729	64649
315	29828	64566
316	29919	64464
317	30009	64359
318	30107	64272
319	30207	64190
320	30313	64122
321	30393	63996
322	30479	63884
323	30565	63771
324	30652	63662
325	30734	63542
326	30821	63434
327	30900	63308
328	30991	63206
329	31073	63089
330	31152	62963
331	31244	62865
332	31331	62757
333	31413	62639
334	31499	62529
335	31583	62414
336	31665	62297
337	31753	62190
338	31835	62074
339	31924	61970
340	32007	61856
341	32091	61742
342	32180	61639
343	32269	61536
344	32352	61423
345	32431	61301
346	32525	61207
347	32609	61095
348	32702	61000
349	32809	60931
350	32915	60861
351	33029	60804
352	33140	60741
353	33250	60678
354	33362	60617
355	33478	60561
356	33587	60495
357	33700	60434
358	33798	60346
359	33893	60255
360	33992	60169
361	34076	60057
362	34167	59957
363	34254	59850
364	34346	59753
365	34428	59638
366	34521	59543
367	34629	59473
368	34731	59392
369	34817	59283
370	34914	59195
371	35035	59146
372	35131	59055
373	35230	58968
374	35340	58900
375	35436	58809
376	35524	58705
377	35618	58610
378	35706	58506
379	35797	58407
380	35885	58301
381	35972	58196
382	36057	58087
383	36140	57975
384	36222	57861
385	36312	57761
386	36394	57647
387	36476	57535
388	36556	57419
389	36641	57311
390	36743	57229
391	36848	57152
392	36950	57070
393	37066	57010
394	37179	56945
395	37297	56888
396	37416	56832
397	37528	56763
398	37644	56701
399	37765	56647
400	37871	56571
401	37957	56463
402	38048	56365
403	38150	56281
404	38271	56225
