iter	Accuracy	Logloss
0	0.6171858851	0.6869651471
1	0.6158650022	0.6814694365
2	0.6167709071	0.6767938862
3	0.6167294093	0.67263554
4	0.617188234	0.6690309164
5	0.6173369998	0.6660209081
6	0.6169909237	0.6635028022
7	0.6172806254	0.6611058064
8	0.6173448295	0.659171649
9	0.6173354338	0.6572144239
10	0.6174152975	0.6555763041
11	0.6169423791	0.6544175688
12	0.616633103	0.6532704953
13	0.6166785157	0.6520162454
14	0.6170527789	0.6511004647
15	0.6171584809	0.6503236097
16	0.6168108389	0.6494283681
17	0.6176697652	0.6486059464
18	0.617746497	0.6481755575
19	0.6180870921	0.6477808196
20	0.6184206405	0.6473859487
21	0.6185936786	0.6467755384
22	0.618924878	0.6460739233
23	0.6193335922	0.6457410284
24	0.6195739663	0.6454293973
25	0.6197634469	0.6448706962
26	0.6199544934	0.6446367391
27	0.6200406209	0.6440654128
28	0.6200077358	0.6437173508
29	0.6204368075	0.6431682776
30	0.6213419294	0.6427539234
31	0.6213043465	0.642395695
32	0.6214084825	0.6422487385
33	0.6220192049	0.6417958979
34	0.6221131622	0.6415567369
35	0.6221413494	0.6414202611
36	0.6222282598	0.6411194661
37	0.6222517492	0.6409733957
38	0.6224858594	0.6407912816
39	0.6225970422	0.6406875509
40	0.6230543011	0.6404140342
41	0.6230503862	0.6403143341
42	0.6231075435	0.6401088841
43	0.6236830319	0.6396699021
44	0.6238153551	0.6393792867
45	0.6239782144	0.6392886847
46	0.6240298909	0.6391965113
47	0.6244965455	0.6388534767
48	0.6245544858	0.638756178
49	0.6246445282	0.6384655677
50	0.6253390292	0.6381996697
51	0.6256827563	0.6379427284
52	0.6258244752	0.6378583932
53	0.6257610541	0.6377572517
54	0.6257070286	0.6376494017
55	0.6257085946	0.6375099195
56	0.6259301772	0.6373975582
57	0.6261165258	0.6372704757
58	0.6260993003	0.6371820868
59	0.6265377677	0.6368988968
60	0.6268446949	0.6366240272
61	0.6272988218	0.6363533844
62	0.6276143617	0.6360865077
63	0.6277239785	0.6359623437
64	0.6278077571	0.6357557346
65	0.6280982417	0.6355051919
66	0.6282751946	0.6352891353
67	0.6287535939	0.6349950936
68	0.6291114146	0.6347483375
69	0.6292860185	0.6345447486
70	0.6292734909	0.6344421658
71	0.6294935076	0.6341768982
72	0.6295397032	0.6340970238
73	0.6297965198	0.6338622655
74	0.6299272771	0.6337967086
75	0.6299546813	0.6336441285
76	0.6301512086	0.6333994818
77	0.6304009784	0.633178
78	0.6307063396	0.6329520257
79	0.6309193095	0.6327676659
