iter	Logloss	F1
0	0.6747060166	0.6313473287
1	0.6633822331	0.6510508816
2	0.6557424477	0.6538530794
3	0.6499889888	0.6490358539
4	0.6466175776	0.6486555978
5	0.644451476	0.65230039
6	0.6420579317	0.6526786078
7	0.6404608916	0.65390623
8	0.6390743851	0.6535782032
9	0.6379842734	0.6538475909
10	0.6375044743	0.6539293758
11	0.636585375	0.6544942371
12	0.6354551949	0.6562335941
13	0.6348735526	0.6556509316
14	0.6345950254	0.6555128745
15	0.6337089984	0.656289557
16	0.6328045825	0.6566072963
17	0.6319671511	0.6570362655
18	0.6314010721	0.6575073746
19	0.6309685111	0.6576888685
20	0.6304586527	0.6574379839
21	0.6297147724	0.6586428876
22	0.6291121326	0.6593421952
23	0.6283702267	0.6602751052
24	0.6277912039	0.6609333236
25	0.6274658922	0.660884134
26	0.6265708067	0.661698712
27	0.6261755531	0.6621389579
28	0.6251045368	0.6641093121
29	0.6247845215	0.6644483419
30	0.624560738	0.6645565581
31	0.6243653902	0.6646881286
32	0.623724407	0.6655364064
33	0.6231250143	0.665763709
34	0.6225699986	0.6662534154
35	0.6223405629	0.6661822679
36	0.6220247589	0.6660133414
37	0.6214374244	0.6664368921
38	0.6209140106	0.6670148147
39	0.6205698961	0.6672012495
40	0.6204043515	0.6673423347
41	0.620111939	0.6677667087
42	0.6198807114	0.6677972989
43	0.6192872992	0.6681194181
44	0.6191446829	0.66800023
45	0.6187552683	0.6680364788
46	0.6184911606	0.6682835278
47	0.6179851469	0.668417784
48	0.6176705352	0.6685639388
49	0.6174673079	0.6687930288
50	0.6173347309	0.6688731161
51	0.6171831695	0.6690181083
52	0.6170288168	0.6688950376
53	0.616778635	0.6690490454
54	0.6166049787	0.6691820522
55	0.6164118418	0.669302612
56	0.6161313745	0.6694041252
57	0.615672568	0.669996036
58	0.6154604053	0.6698467354
59	0.6152094133	0.6697001999
60	0.6149035151	0.669864639
61	0.6145805921	0.6698681088
62	0.6144320975	0.6699691209
63	0.6141915808	0.6701443577
64	0.6140527712	0.6701409513
65	0.6138948375	0.6700182003
66	0.6137458701	0.6699695856
67	0.6135408203	0.6698400739
68	0.6132735087	0.6697807982
69	0.6130338991	0.6700985945
70	0.6129144032	0.6700728916
71	0.6128067187	0.6699954591
72	0.6126397552	0.670103766
73	0.6125331716	0.6699455196
74	0.612453148	0.6698525299
75	0.6123625946	0.6697296438
76	0.6121762049	0.6699128371
77	0.6120350554	0.6702559421
78	0.6118245708	0.6704399273
79	0.6116804977	0.6704580633
80	0.6114863802	0.6706229476
81	0.6111673698	0.6710065783
82	0.6110923986	0.671107282
83	0.6109646616	0.671298031
84	0.610746563	0.6714214141
85	0.6106642638	0.6713019895
86	0.6105454635	0.6713838816
87	0.6104900404	0.6714399803
88	0.6103441747	0.6715310214
89	0.6102273704	0.6717342663
90	0.6100144769	0.6717114847
91	0.6099167633	0.67159537
92	0.6095416473	0.6717739652
93	0.6094415628	0.6717573076
94	0.6092359187	0.6718376789
95	0.609082771	0.6719249237
96	0.6089767997	0.6718970118
97	0.6088117194	0.6720075807
98	0.6087320659	0.6719522129
99	0.6086446162	0.6718963492
100	0.6085429358	0.6718624917
101	0.6082937642	0.6718843715
102	0.6082186802	0.6719738708
103	0.6080315074	0.6722267097
104	0.6079281805	0.6721756247
105	0.6078757575	0.6722112909
106	0.6078087552	0.6721725106
107	0.6076376074	0.6723505763
108	0.6075183265	0.6724745942
109	0.6074367721	0.6725526669
110	0.607287291	0.6723967588
111	0.6071787243	0.6723202816
112	0.6071056342	0.6723809239
113	0.6070423588	0.6723652121
114	0.6069358832	0.6724036223
115	0.6067905966	0.6724967903
116	0.6067002112	0.6724397982
117	0.6066247725	0.6725437354
118	0.6065417063	0.672486981
119	0.606464826	0.6723743577
120	0.6062996256	0.6725716546
121	0.6062301617	0.6724689754
122	0.6060903744	0.6725166911
123	0.6060272073	0.6725053301
124	0.6059781831	0.6725058895
125	0.6058890022	0.672488389
126	0.6058286231	0.6726251579
127	0.6057192566	0.6725545679
128	0.6056002663	0.6727850447
129	0.6055568266	0.672808115
130	0.6054470067	0.6728769972
131	0.6053167979	0.6731107229
132	0.6051955922	0.6729151377
133	0.60507898	0.6730043912
134	0.6049968042	0.6730089878
135	0.6049472258	0.6730564581
136	0.6048808657	0.6729878493
137	0.6047747311	0.6730227152
138	0.6046676423	0.6731480284
139	0.6045054198	0.6731783548
140	0.6044289752	0.6731799489
141	0.6043739979	0.6732063624
142	0.6042985973	0.6732814702
143	0.6042188313	0.6732708234
144	0.6041521975	0.6732060575
145	0.6041061509	0.6732676852
146	0.6039755601	0.673250858
147	0.6038716549	0.6733190146
148	0.6038196347	0.6733163646
149	0.6037682263	0.6733282743
150	0.6036932926	0.6734007448
151	0.6036541404	0.6733404607
152	0.6035811619	0.6734694418
153	0.6035248836	0.6735522974
154	0.6034598225	0.6736021829
155	0.6033739208	0.6736092337
156	0.6033063011	0.6736700933
157	0.6032343211	0.673750535
158	0.6031758421	0.67379048
159	0.6030866702	0.6737782238
160	0.6030272647	0.6737145862
161	0.6029431031	0.6737728604
162	0.60286508	0.6738451532
163	0.6027947033	0.6738430235
164	0.6027476464	0.6738673488
165	0.6026957734	0.6737740419
166	0.6026325525	0.6738744251
167	0.6025809373	0.6739154753
168	0.6025212834	0.673903066
169	0.6024302362	0.673964806
170	0.6023610706	0.6738653016
171	0.6022039369	0.6739596643
172	0.6021725593	0.6739920098
173	0.6020488445	0.6741613872
174	0.6019749052	0.6742469558
175	0.6019271768	0.6742031262
176	0.6018678445	0.6742915266
177	0.6018216962	0.674266385
178	0.6017604139	0.6743337688
179	0.6017120262	0.6743457906
180	0.6016348328	0.6742836262
181	0.6015985149	0.6743247219
182	0.6015394777	0.6743358454
183	0.6014879598	0.6744097451
184	0.6014062334	0.6744453083
185	0.601357507	0.6744537913
186	0.6013082091	0.6744720522
187	0.6012488033	0.6744883611
188	0.6012021644	0.6745171739
189	0.6011654359	0.6745363131
190	0.6010976038	0.6745917291
191	0.6010494834	0.6746248307
192	0.6009971346	0.6746238975
193	0.6009506019	0.6745687584
194	0.6009006002	0.6745736966
195	0.6008455034	0.6746117726
196	0.6007940415	0.6745558408
197	0.6007345241	0.6746170815
198	0.6006888689	0.6746614611
199	0.6006397247	0.6747031834
200	0.6005835453	0.6747310005
201	0.6005193825	0.6746553118
202	0.6004827111	0.674720135
203	0.6004386076	0.6747298983
204	0.6003876481	0.6747739254
205	0.6003266852	0.6747326417
206	0.6002564174	0.6747589776
207	0.6001594421	0.674805237
208	0.6001133382	0.6747751635
209	0.6000710922	0.6747516145
210	0.6000330978	0.6747379595
211	0.5999811594	0.6747302489
212	0.5999368612	0.6746738475
213	0.5998766063	0.6747282017
214	0.5998188062	0.6748324325
215	0.5997857143	0.6748061792
216	0.5997191875	0.6749331938
217	0.5996613889	0.6749550544
218	0.5996179479	0.6749609334
219	0.5995748184	0.6748960929
220	0.5995164427	0.6749611267
221	0.5994757888	0.6749615118
222	0.5994318113	0.6750190162
223	0.5993838181	0.6750376619
224	0.5993495094	0.6750503822
225	0.5993073939	0.6750474225
226	0.5992706339	0.6750512474
227	0.5992118534	0.6750245978
228	0.5991725814	0.675025586
229	0.5991176531	0.6750303524
230	0.5990854453	0.6750505636
231	0.5990303999	0.6750873615
232	0.5989935125	0.6750183477
233	0.5989609433	0.6750691221
234	0.5989131473	0.6751262947
235	0.598872876	0.6751603109
236	0.5988006394	0.6752969616
237	0.5987573923	0.6752718725
238	0.5987150018	0.6752890197
239	0.5986802626	0.6753134358
240	0.5986270724	0.6753047439
241	0.5985971433	0.6753355
242	0.5985575815	0.6754217521
243	0.5985223458	0.6754027761
244	0.5984499682	0.675440327
245	0.5984127417	0.6754565499
246	0.5983670623	0.6754841585
247	0.5983319875	0.6754676279
248	0.5983058131	0.6755111455
249	0.5982347433	0.6755957208
250	0.5981997864	0.6756061887
251	0.5981665676	0.6756519772
252	0.5981323954	0.6756604559
