iter	Passed	Remaining
0	371	370832
1	616	307592
2	853	283573
3	1075	267914
4	1279	254534
5	1476	244599
6	1668	236643
7	1903	236094
8	2102	231458
9	2303	228007
10	2538	228268
11	2797	230348
12	3028	229899
13	3264	229925
14	3456	226961
15	3649	224462
16	3836	221839
17	4024	219549
18	4217	217755
19	4412	216234
20	4620	215420
21	4813	213968
22	5011	212859
23	5196	211304
24	5428	211701
25	5614	210310
26	5804	209176
27	6032	209399
28	6219	208238
29	6416	207453
30	6658	208119
31	6869	207813
32	7064	207002
33	7259	206256
34	7458	205633
35	7668	205338
36	7857	204517
37	8051	203834
38	8282	204081
39	8503	204086
40	8719	203961
41	8932	203753
42	9170	204103
43	9378	203759
44	9570	203109
45	9787	202989
46	10032	203416
47	10221	202725
48	10406	201971
49	10620	201797
50	10875	202364
51	11098	202336
52	11342	202663
53	11554	202417
54	11753	201938
55	11960	201616
56	12166	201275
57	12371	200930
58	12570	200486
59	12792	200418
60	12974	199720
61	13163	199151
62	13356	198653
63	13553	198216
64	13765	198006
65	13954	197483
66	14141	196929
67	14341	196569
68	14546	196274
69	14752	196000
70	14944	195535
71	15137	195104
72	15335	194736
73	15525	194278
74	15748	194237
75	15940	193798
76	16138	193457
77	16347	193232
78	16542	192854
79	16759	192734
80	16948	192289
81	17134	191822
82	17332	191496
83	17524	191096
84	17727	190826
85	17961	190891
86	18173	190722
87	18371	190391
88	18591	190305
89	18794	190031
90	19018	189976
91	19239	189886
92	19446	189654
93	19683	189719
94	19887	189451
95	20122	189491
96	20324	189204
97	20534	189005
98	20765	188989
99	20957	188621
100	21144	188207
101	21360	188057
102	21552	187693
103	21748	187370
104	21950	187105
105	22139	186722
106	22329	186357
107	22560	186336
108	22781	186225
109	23007	186154
110	23201	185820
111	23422	185707
112	23620	185410
113	23817	185109
114	24015	184815
115	24237	184708
116	24428	184363
117	24624	184057
118	24813	183702
119	25011	183419
120	25246	183404
121	25444	183119
122	25634	182776
123	25822	182424
124	26013	182096
125	26212	181825
126	26412	181558
127	26617	181330
128	26834	181182
129	27066	181136
130	27322	181248
131	27532	181048
132	27754	180924
133	27946	180608
134	28163	180457
135	28371	180245
136	28558	179897
137	28759	179643
138	28967	179430
139	29157	179109
140	29350	178809
141	29546	178527
142	29741	178243
143	29931	177926
144	30124	177632
145	30323	177370
146	30552	177288
147	30802	177321
148	31051	177345
149	31287	177293
150	31492	177066
151	31693	176817
152	31901	176606
153	32121	176458
154	32365	176442
155	32569	176210
156	32785	176038
157	32984	175778
158	33217	175700
159	33458	175654
160	33690	175567
161	33913	175427
162	34120	175207
163	34310	174900
164	34507	174628
165	34734	174507
166	34969	174430
167	35183	174243
168	35393	174034
169	35614	173882
170	35812	173616
171	35986	173234
172	36196	173032
173	36392	172761
174	36593	172510
175	36799	172288
176	36993	172007
177	37182	171707
178	37419	171628
179	37667	171598
180	37875	171382
181	38073	171120
182	38266	170841
183	38466	170591
184	38671	170361
185	38891	170203
186	39136	170148
187	39363	170017
188	39570	169795
189	39791	169637
190	39991	169386
191	40182	169100
192	40388	168877
193	40579	168592
194	40799	168427
195	41010	168225
196	41235	168081
197	41435	167834
198	41680	167767
199	41895	167581
200	42123	167447
201	42317	167175
202	42518	166931
203	42715	166674
204	42922	166454
205	43132	166247
206	43342	166040
207	43561	165869
208	43756	165605
209	43942	165308
210	44143	165069
211	44334	164791
212	44525	164514
213	44729	164286
214	44922	164019
215	45145	163860
216	45346	163622
217	45544	163374
218	45753	163166
219	45946	162900
220	46146	162660
221	46349	162433
222	46555	162212
223	46754	161972
224	46971	161792
225	47231	161757
226	47473	161659
227	47673	161421
228	47863	161148
229	48057	160889
230	48267	160681
231	48463	160431
232	48652	160157
233	48862	159951
234	49071	159743
235	49289	159562
236	49488	159325
237	49698	159117
238	49895	158870
239	50092	158627
240	50332	158515
241	50546	158321
242	50746	158087
243	50956	157880
244	51136	157582
245	51338	157355
246	51551	157159
247	51763	156961
248	51965	156730
249	52162	156488
250	52366	156264
251	52586	156090
252	52780	155839
253	52981	155606
254	53186	155387
255	53423	155260
256	53626	155036
257	53820	154785
258	54011	154528
259	54205	154276
260	54394	154014
261	54600	153797
262	54805	153579
263	55013	153371
264	55222	153162
265	55424	152938
266	55620	152696
267	55809	152434
268	56016	152223
269	56235	152043
270	56441	151828
271	56631	151572
272	56828	151333
273	57034	151121
274	57230	150880
275	57423	150632
276	57623	150404
277	57818	150162
278	58024	149948
279	58225	149721
280	58426	149497
281	58629	149276
282	58810	149000
283	59011	148774
284	59225	148582
285	59475	148480
286	59710	148339
287	59911	148115
288	60100	147860
289	60305	147644
290	60513	147437
291	60710	147203
292	60926	147013
293	61116	146761
294	61312	146526
295	61512	146301
296	61716	146082
297	61914	145853
298	62135	145675
299	62329	145434
300	62534	145220
301	62770	145079
302	62991	144901
303	63205	144707
304	63410	144491
305	63643	144342
306	63840	144109
307	64042	143887
308	64263	143708
309	64488	143537
310	64691	143319
311	64883	143076
312	65080	142844
313	65275	142607
314	65463	142356
315	65677	142162
316	65887	141959
317	66104	141772
318	66303	141544
319	66529	141374
320	66750	141194
321	66986	141046
322	67261	140978
323	67526	140887
324	67762	140737
325	68006	140602
326	68225	140414
327	68427	140193
328	68645	140003
329	68865	139817
330	69096	139654
331	69320	139475
332	69533	139275
333	69748	139079
334	69938	138833
335	70144	138618
336	70382	138468
337	70611	138297
338	70818	138085
339	71029	137880
340	71247	137690
341	71446	137461
342	71639	137221
343	71852	137020
344	72057	136804
345	72299	136659
346	72502	136438
347	72694	136197
348	72891	135967
349	73096	135750
350	73346	135618
351	73549	135397
352	73751	135175
353	73951	134950
354	74160	134742
355	74358	134514
356	74554	134281
357	74760	134067
358	74995	133905
359	75223	133730
360	75433	133524
361	75626	133286
362	75815	133042
363	76016	132819
364	76207	132580
365	76431	132397
366	76644	132196
367	76850	131981
368	77050	131758
369	77242	131520
370	77443	131299
371	77679	131136
372	77884	130921
373	78083	130695
374	78317	130529
375	78532	130331
376	78736	130112
377	78938	129893
378	79171	129724
379	79424	129586
380	79669	129436
381	79904	129269
382	80100	129038
383	80336	128873
384	80540	128655
385	80742	128434
386	80943	128212
387	81158	128013
388	81374	127814
389	81628	127675
390	81829	127453
391	82020	127214
392	82232	127010
393	82431	126785
394	82645	126583
395	82876	126407
396	83079	126188
397	83291	125984
398	83517	125799
399	83713	125569
400	83903	125331
401	84158	125191
402	84352	124959
403	84549	124730
404	84735	124488
405	84968	124312
406	85170	124093
407	85380	123885
408	85582	123666
409	85786	123449
410	85981	123218
411	86182	122998
412	86376	122768
413	86588	122562
414	86795	122349
415	86987	122116
416	87185	121891
417	87415	121712
418	87652	121542
419	87868	121342
420	88073	121127
421	88267	120896
422	88475	120685
423	88668	120455
424	88887	120259
425	89076	120023
426	89287	119817
427	89489	119597
428	89684	119370
429	89881	119145
430	90098	118946
431	90290	118714
432	90490	118494
433	90689	118272
434	90887	118048
435	91089	117831
436	91293	117616
437	91501	117406
438	91695	117178
439	91900	116964
440	92101	116745
441	92320	116549
442	92559	116378
443	92772	116174
444	92982	115966
445	93175	115737
446	93411	115562
447	93649	115389
448	93839	115157
449	94043	114942
450	94239	114716
451	94434	114490
452	94651	114291
453	94882	114110
454	95088	113897
455	95301	113693
456	95503	113476
457	95700	113252
458	95891	113022
459	96082	112792
460	96292	112584
461	96488	112361
462	96697	112152
463	96900	111937
464	97097	111714
465	97318	111519
466	97536	111321
467	97742	111108
468	97942	110890
469	98140	110668
470	98338	110447
471	98540	110232
472	98754	110028
473	98950	109805
474	99188	109629
475	99426	109452
476	99618	109225
477	99812	109000
478	100040	108812
479	100264	108620
480	100464	108401
481	100695	108216
482	100908	108011
483	101108	107793
484	101299	107565
485	101515	107364
486	101743	107175
487	101941	106954
488	102143	106739
489	102350	106527
490	102549	106309
491	102756	106098
492	102950	105873
493	103149	105654
494	103382	105470
495	103582	105253
496	103843	105097
497	104051	104887
498	104254	104672
499	104499	104499
500	104700	104282
501	104919	104083
502	105132	103878
503	105333	103661
504	105525	103435
505	105713	103206
506	105924	102999
507	106121	102778
508	106315	102555
509	106527	102349
510	106736	102141
511	106958	101944
512	107198	101765
513	107432	101580
514	107668	101396
515	107896	101205
516	108101	100992
517	108296	100770
518	108489	100545
519	108691	100330
520	108947	100165
521	109169	99967
522	109370	99750
523	109600	99560
524	109806	99348
525	110013	99137
526	110209	98916
527	110449	98735
528	110684	98549
529	110948	98387
530	111199	98215
531	111440	98034
532	111628	97806
533	111819	97580
534	112024	97367
535	112219	97145
536	112425	96933
537	112632	96721
538	112830	96502
539	113041	96294
540	113245	96081
541	113472	95886
542	113704	95696
543	113906	95480
544	114091	95250
545	114308	95047
546	114522	94842
547	114727	94629
548	114932	94416
549	115140	94205
550	115379	94021
551	115588	93810
552	115784	93590
553	115993	93381
554	116196	93166
555	116398	92951
556	116586	92724
557	116772	92496
558	116971	92279
559	117164	92057
560	117374	91848
561	117583	91639
562	117799	91435
563	118007	91225
564	118203	91006
565	118401	90788
566	118597	90569
567	118794	90350
568	118993	90133
569	119199	89922
570	119398	89705
571	119601	89492
572	119809	89281
573	120027	89079
574	120237	88871
575	120435	88653
576	120632	88436
577	120843	88228
578	121036	88007
579	121228	87786
580	121425	87568
581	121612	87343
582	121801	87120
583	121990	86897
584	122223	86705
585	122460	86516
586	122658	86299
587	122854	86082
588	123085	85887
589	123283	85671
590	123482	85455
591	123681	85239
592	123886	85028
593	124133	84845
594	124347	84639
595	124550	84426
596	124743	84207
597	124940	83990
598	125164	83791
599	125364	83576
600	125554	83355
601	125746	83134
602	125939	82915
603	126148	82706
604	126371	82506
605	126565	82288
606	126797	82094
607	127047	81912
608	127402	81797
609	127616	81590
610	127816	81375
611	128020	81163
612	128232	80956
613	128431	80740
614	128620	80518
615	128843	80317
616	129045	80104
617	129251	79893
618	129443	79673
619	129638	79455
620	129829	79235
621	130033	79023
622	130234	78809
623	130435	78595
624	130632	78379
625	130838	78168
626	131053	77963
627	131263	77754
628	131465	77541
629	131676	77333
630	131907	77137
631	132102	76920
632	132318	76715
633	132509	76496
634	132702	76277
635	132895	76059
636	133093	75844
637	133309	75639
638	133507	75424
639	133701	75207
640	133908	74997
641	134111	74785
642	134328	74580
643	134535	74370
644	134755	74167
645	134977	73965
646	135187	73757
647	135394	73547
648	135589	73330
649	135779	73112
650	135984	72901
651	136178	72684
652	136383	72473
653	136578	72257
654	136773	72041
655	136971	71826
656	137160	71607
657	137369	71398
658	137588	71195
659	137789	70982
660	137983	70766
661	138196	70559
662	138395	70346
663	138615	70142
664	138844	69944
665	139043	69730
666	139245	69518
667	139445	69305
668	139640	69089
669	139833	68873
670	140032	68659
671	140248	68454
672	140470	68252
673	140678	68043
674	140866	67824
675	141058	67608
676	141257	67394
677	141459	67182
678	141647	66964
679	141860	66758
680	142061	66545
681	142289	66346
682	142522	66148
683	142714	65932
684	142939	65731
685	143146	65521
686	143347	65309
687	143547	65096
688	143742	64882
689	143945	64671
690	144157	64464
691	144381	64262
692	144595	64056
693	144798	63845
694	144992	63629
695	145199	63420
696	145386	63202
697	145639	63012
698	145884	62820
699	146145	62633
700	146348	62422
701	146545	62208
702	146767	62005
703	146966	61792
704	147167	61580
705	147389	61377
706	147584	61163
707	147855	60980
708	148104	60787
709	148310	60577
710	148508	60364
711	148712	60153
712	148913	59941
713	149137	59738
714	149328	59522
715	149522	59307
716	149751	59107
717	149941	58890
718	150151	58682
719	150401	58489
720	150616	58282
721	150829	58075
722	151046	57869
723	151274	57668
724	151491	57462
725	151702	57254
726	151892	57037
727	152091	56825
728	152307	56619
729	152517	56410
730	152716	56197
731	152987	56011
732	153204	55805
733	153448	55609
734	153646	55396
735	153869	55192
736	154079	54983
737	154274	54769
738	154502	54567
739	154698	54353
740	154965	54164
741	155203	53965
742	155415	53757
743	155613	53544
744	155808	53330
745	156104	53150
746	156336	52949
747	156546	52740
748	156755	52530
749	156959	52319
750	157152	52105
751	157347	51891
752	157568	51685
753	157766	51472
754	157988	51267
755	158192	51056
756	158409	50849
757	158611	50638
758	158810	50425
759	159030	50220
760	159223	50005
761	159413	49790
762	159647	49588
763	159860	49381
764	160060	49168
765	160256	48955
766	160460	48744
767	160659	48532
768	160867	48322
769	161108	48123
770	161302	47909
771	161493	47694
772	161714	47489
773	161912	47276
774	162146	47074
775	162374	46871
776	162590	46663
777	162793	46452
778	162986	46238
779	163241	46042
780	163455	45834
781	163650	45621
782	163870	45415
783	164071	45203
784	164291	44996
785	164486	44783
786	164696	44574
787	164940	44374
788	165160	44168
789	165353	43954
790	165543	43740
791	165740	43527
792	165964	43322
793	166216	43124
794	166439	42918
795	166631	42704
796	166830	42492
797	167036	42282
798	167252	42074
799	167449	41862
800	167657	41652
801	167870	41444
802	168101	41240
803	168330	41035
804	168559	40831
805	168763	40620
806	168950	40405
807	169148	40193
808	169372	39987
809	169568	39775
810	169766	39563
811	169991	39357
812	170204	39149
813	170432	38944
814	170633	38732
815	170835	38521
816	171083	38320
817	171310	38115
818	171513	37904
819	171706	37691
820	171914	37482
821	172126	37273
822	172324	37061
823	172518	36848
824	172715	36636
825	172921	36426
826	173110	36212
827	173321	36004
828	173561	35801
829	173794	35596
830	174007	35387
831	174207	35176
832	174445	34972
833	174655	34763
834	174855	34552
835	175051	34340
836	175263	34131
837	175575	33941
838	175802	33735
839	175999	33523
840	176190	33310
841	176393	33100
842	176652	32899
843	176885	32694
844	177076	32481
845	177275	32270
846	177471	32058
847	177699	31851
848	177892	31639
849	178092	31428
850	178313	31220
851	178534	31012
852	178759	30806
853	178961	30595
854	179190	30389
855	179430	30184
856	179689	29983
857	179924	29777
858	180154	29571
859	180355	29360
860	180554	29148
861	180777	28941
862	180973	28729
863	181169	28517
864	181373	28306
865	181574	28095
866	181812	27890
867	182005	27678
868	182200	27466
869	182398	27255
870	182600	27044
871	182825	26836
872	183053	26629
873	183258	26419
874	183459	26208
875	183660	25997
876	183876	25788
877	184119	25583
878	184359	25378
879	184569	25168
880	184798	24961
881	185023	24753
882	185218	24542
883	185465	24337
884	185686	24128
885	185935	23924
886	186133	23712
887	186356	23504
888	186593	23297
889	186807	23088
890	187056	22883
891	187311	22679
892	187543	22471
893	187768	22263
894	188014	22057
895	188236	21848
896	188425	21636
897	188618	21424
898	188814	21212
899	189053	21005
900	189251	20794
901	189461	20584
902	189649	20372
903	189839	20159
904	190061	19951
905	190273	19741
906	190501	19533
907	190722	19324
908	190953	19116
909	191167	18906
910	191359	18694
911	191555	18483
912	191773	18274
913	191968	18062
914	192171	17851
915	192384	17642
916	192623	17434
917	192863	17227
918	193070	17017
919	193291	16807
920	193499	16597
921	193706	16387
922	193897	16175
923	194126	15967
924	194336	15757
925	194563	15548
926	194786	15339
927	195011	15130
928	195389	14932
929	195605	14723
930	195807	14512
931	196003	14300
932	196230	14091
933	196425	13880
934	196646	13670
935	196864	13460
936	197063	13249
937	197273	13039
938	197506	12830
939	197705	12619
940	197909	12408
941	198103	12197
942	198310	11986
943	198515	11776
944	198709	11565
945	198945	11356
946	199163	11146
947	199414	10938
948	199619	10727
949	199823	10517
950	200024	10306
951	200245	10096
952	200494	9887
953	200713	9678
954	200905	9466
955	201105	9255
956	201331	9046
957	201542	8835
958	201737	8624
959	201925	8413
960	202121	8202
961	202336	7992
962	202629	7785
963	202873	7576
964	203094	7366
965	203317	7156
966	203557	6946
967	203779	6736
968	204017	6526
969	204229	6316
970	204481	6107
971	204718	5897
972	204911	5686
973	205107	5475
974	205310	5264
975	205550	5054
976	205774	4844
977	205972	4633
978	206159	4422
979	206383	4211
980	206633	4002
981	206872	3791
982	207142	3582
983	207371	3371
984	207581	3161
985	207776	2950
986	207968	2739
987	208162	2528
988	208353	2317
989	208542	2106
990	208784	1896
991	209027	1685
992	209245	1475
993	209438	1264
994	209640	1053
995	209842	842
996	210041	632
997	210268	421
998	210508	210
999	210745	0
