iter	Passed	Remaining
0	84	84312
1	107	53614
2	129	42912
3	148	36877
4	165	32978
5	182	30313
6	199	28297
7	215	26674
8	229	25270
9	244	24218
10	258	23282
11	272	22430
12	287	21832
13	302	21271
14	316	20796
15	331	20384
16	346	20012
17	361	19722
18	375	19411
19	391	19161
20	404	18866
21	419	18651
22	434	18449
23	448	18242
24	463	18077
25	477	17903
26	492	17732
27	506	17578
28	520	17443
29	536	17338
30	550	17203
31	565	17101
32	579	16995
33	594	16876
34	608	16769
35	622	16675
36	637	16590
37	651	16488
38	666	16424
39	681	16351
40	695	16274
41	709	16191
42	724	16118
43	738	16049
44	751	15950
45	765	15875
46	779	15803
47	793	15737
48	807	15672
49	822	15631
50	837	15575
51	852	15532
52	866	15489
53	881	15449
54	896	15409
55	911	15373
56	927	15337
57	941	15286
58	954	15227
59	970	15211
60	985	15176
61	1000	15137
62	1014	15095
63	1029	15056
64	1044	15031
65	1060	15001
66	1074	14969
67	1089	14932
68	1103	14892
69	1118	14857
70	1132	14819
71	1145	14758
72	1159	14726
73	1174	14693
74	1188	14659
75	1202	14619
76	1217	14600
77	1232	14574
78	1248	14551
79	1262	14521
80	1277	14496
81	1292	14465
82	1306	14436
83	1321	14408
84	1336	14384
85	1350	14356
86	1365	14330
87	1379	14295
88	1393	14268
89	1408	14241
90	1422	14213
91	1437	14187
92	1451	14155
93	1466	14134
94	1481	14109
95	1495	14079
96	1509	14055
97	1524	14035
98	1539	14008
99	1551	13960
100	1565	13936
101	1581	13921
102	1595	13898
103	1610	13874
104	1624	13847
105	1638	13820
106	1653	13796
107	1667	13775
108	1682	13750
109	1696	13725
110	1710	13700
111	1726	13686
112	1740	13663
113	1754	13639
114	1770	13622
115	1784	13601
116	1799	13582
117	1815	13567
118	1830	13549
119	1844	13527
120	1858	13503
121	1873	13480
122	1886	13452
123	1900	13429
124	1915	13407
125	1928	13376
126	1943	13356
127	1957	13337
128	1974	13329
129	1989	13312
130	2004	13295
131	2019	13276
132	2033	13257
133	2048	13237
134	2062	13215
135	2078	13201
136	2092	13180
137	2107	13162
138	2121	13138
139	2135	13118
140	2149	13094
141	2164	13077
142	2179	13060
143	2193	13039
144	2208	13024
145	2223	13005
146	2237	12985
147	2252	12967
148	2266	12947
149	2281	12929
150	2296	12911
151	2309	12886
152	2324	12869
153	2339	12853
154	2354	12833
155	2368	12812
156	2382	12793
157	2397	12774
158	2411	12754
159	2425	12735
160	2439	12715
161	2454	12697
162	2470	12683
163	2484	12667
164	2499	12650
165	2514	12632
166	2528	12613
167	2543	12596
168	2558	12580
169	2572	12560
170	2587	12545
171	2602	12526
172	2616	12506
173	2631	12490
174	2645	12472
175	2663	12471
176	2678	12452
177	2693	12436
178	2707	12418
179	2722	12400
180	2736	12383
181	2751	12367
182	2766	12351
183	2780	12330
184	2795	12316
185	2810	12299
186	2824	12278
187	2838	12261
188	2853	12243
189	2867	12226
190	2882	12208
191	2896	12189
192	2911	12173
193	2926	12156
