iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.5546758924	0.7072980931	0.7072980931
1	0.5201808205	0.7022399557	0.7022399557
2	0.5011063831	0.6936376118	0.6936376118
3	0.4930326955	0.6917404665	0.6917404665
4	0.4873037527	0.6930369969	0.6930369969
5	0.4833907588	0.6948626021	0.6948626021
6	0.4791705293	0.6958261207	0.6958261207
7	0.4769695539	0.7009360839	0.7009360839
8	0.4753499492	0.7007758962	0.7007758962
9	0.474298375	0.7002530196	0.7002530196
10	0.4722393903	0.7025179551	0.7025179551
11	0.4698631146	0.7058362756	0.7058362756
12	0.4685126139	0.7083382626	0.7083382626
13	0.4679822503	0.7087662275	0.7087662275
14	0.4667104141	0.7101443026	0.7101443026
15	0.4654882634	0.7106779771	0.7106779771
16	0.4631918219	0.7140854476	0.7140854476
17	0.4623101618	0.7151758272	0.7151758272
18	0.4605752525	0.7172171518	0.7172171518
19	0.4598873665	0.7181210163	0.7181210163
20	0.4589618461	0.7194503625	0.7194503625
21	0.4576466405	0.7207617426	0.7207617426
22	0.4571665718	0.7217822027	0.7217822027
23	0.4567339193	0.7228719521	0.7228719521
24	0.4554022186	0.7236620617	0.7236620617
25	0.4548193791	0.7244184136	0.7244184136
26	0.4537878095	0.7260272509	0.7260272509
27	0.4532658011	0.7265882206	0.7265882206
28	0.4522377105	0.7273996962	0.7273996962
29	0.4515692324	0.7281546074	0.7281546074
30	0.4508545442	0.7285026926	0.7285026926
31	0.4499781273	0.7294591444	0.7294591444
32	0.4491019097	0.7308462259	0.7308462259
33	0.448429206	0.7318022284	0.7318022284
34	0.4478810653	0.7324362324	0.7324362324
35	0.447583299	0.733169209	0.733169209
36	0.4470571223	0.7335854566	0.7335854566
37	0.4463295531	0.7342579446	0.7342579446
38	0.4456445785	0.7353555699	0.7353555699
39	0.4450159002	0.7359108674	0.7359108674
40	0.4447277291	0.7364152036	0.7364152036
41	0.4443588995	0.737002105	0.737002105
42	0.4440120809	0.7374416564	0.7374416564
43	0.4434230541	0.7379394564	0.7379394564
44	0.4430098542	0.7382722609	0.7382722609
45	0.4427568538	0.7385070605	0.7385070605
46	0.4425777672	0.7388646345	0.7388646345
47	0.4423341946	0.7390385747	0.7390385747
48	0.4419247674	0.7394355767	0.7394355767
49	0.4414494299	0.7399481616	0.7399481616
50	0.4411570708	0.7404525298	0.7404525298
51	0.4404451919	0.7407611711	0.7407611711
52	0.440083604	0.7413281782	0.7413281782
53	0.4395268916	0.7416213317	0.7416213317
54	0.4393874021	0.7418522259	0.7418522259
55	0.4390012618	0.7421343285	0.7421343285
56	0.4386682133	0.7425214014	0.7425214014
57	0.4383015893	0.7425453169	0.7425453169
58	0.4380616727	0.7429824027	0.7429824027
59	0.4377866388	0.7433493513	0.7433493513
60	0.437441122	0.7439905152	0.7439905152
61	0.4371185033	0.7443415721	0.7443415721
62	0.4368668008	0.7445456093	0.7445456093
63	0.4364830832	0.7447022391	0.7447022391
64	0.436241879	0.7449472798	0.7449472798
65	0.4359523933	0.7451588795	0.7451588795
66	0.4357136256	0.7454308115	0.7454308115
67	0.435371505	0.7455113066	0.7455113066
68	0.4351263066	0.7457741663	0.7457741663
69	0.4347830222	0.7460531988	0.7460531988
70	0.4344652521	0.7464826384	0.7464826384
71	0.4342391429	0.7466573577	0.7466573577
72	0.4341113461	0.7467768686	0.7467768686
73	0.4339746493	0.7470434587	0.7470434587
74	0.4336480781	0.7471660717	0.7471660717
75	0.433215006	0.7476975212	0.7476975212
76	0.4330814933	0.7478795764	0.7478795764
77	0.4328376348	0.7479349774	0.7479349774
78	0.4325582093	0.7482401358	0.7482401358
79	0.4321964138	0.7486696042	0.7486696042
80	0.4319588374	0.7488068916	0.7488068916
81	0.4317992849	0.748948034	0.748948034
82	0.4315818712	0.7490430585	0.7490430585
83	0.4313822691	0.7493392765	0.7493392765
84	0.431174118	0.7494455902	0.7494455902
85	0.4309585939	0.749663609	0.749663609
86	0.4308042015	0.7498722353	0.7498722353
87	0.4306243634	0.7500909516	0.7500909516
88	0.4303433753	0.7499898933	0.7499898933
89	0.4300165586	0.7502171736	0.7502171736
90	0.42972608	0.7502902962	0.7502902962
91	0.4295858656	0.7504336357	0.7504336357
92	0.4292048126	0.7507511778	0.7507511778
93	0.4290052313	0.750902212	0.750902212
94	0.4287345921	0.7512713155	0.7512713155
95	0.4283496731	0.7515810914	0.7515810914
96	0.428152359	0.751772557	0.751772557
97	0.4279584091	0.7520439708	0.7520439708
98	0.4277649134	0.7521373182	0.7521373182
99	0.427372246	0.7526049573	0.7526049573
100	0.4271967247	0.7528463278	0.7528463278
101	0.4270493571	0.7531335167	0.7531335167
102	0.4266733821	0.7533703333	0.7533703333
103	0.4264236812	0.7535584778	0.7535584778
104	0.4262240836	0.7537503104	0.7537503104
105	0.4261069357	0.7538752034	0.7538752034
106	0.4259777116	0.7540477802	0.7540477802
107	0.4258613456	0.7541612924	0.7541612924
108	0.4256495623	0.754624968	0.754624968
109	0.4254091152	0.7550432555	0.7550432555
110	0.4252561673	0.7551590826	0.7551590826
111	0.4250214789	0.7554178869	0.7554178869
112	0.4249238525	0.7555003112	0.7555003112
113	0.4247257975	0.7556945949	0.7556945949
114	0.4246051121	0.7558182115	0.7558182115
115	0.4243355888	0.7561144612	0.7561144612
116	0.4242457254	0.7561943634	0.7561943634
117	0.4241117324	0.7562699702	0.7562699702
118	0.4239457782	0.7563613017	0.7563613017
119	0.4238367373	0.7565416279	0.7565416279
120	0.4237047125	0.7566691233	0.7566691233
121	0.4235344206	0.7567972075	0.7567972075
122	0.4233373964	0.7572119444	0.7572119444
123	0.4232237754	0.7573150628	0.7573150628
124	0.4229972387	0.7574799237	0.7574799237
125	0.4229064953	0.7575972743	0.7575972743
126	0.4228147906	0.7577106114	0.7577106114
127	0.42267294	0.7577462704	0.7577462704
128	0.422519709	0.7579159503	0.7579159503
129	0.4223248806	0.7580309152	0.7580309152
130	0.4221572352	0.7584041546	0.7584041546
131	0.4220708548	0.758476987	0.758476987
132	0.4219692443	0.7586451205	0.7586451205
133	0.421802979	0.758815167	0.758815167
134	0.4216637178	0.7589843879	0.7589843879
135	0.4215696658	0.75904483	0.75904483
136	0.4213237843	0.7592154848	0.7592154848
137	0.4211546614	0.7593465988	0.7593465988
138	0.4209985806	0.759496373	0.759496373
139	0.4209044679	0.7596221367	0.7596221367
140	0.42078011	0.7597167473	0.7597167473
141	0.4206568499	0.7598600134	0.7598600134
142	0.4204879097	0.7599871292	0.7599871292
143	0.4202615988	0.7600204115	0.7600204115
144	0.4201614418	0.7601405784	0.7601405784
145	0.4200182416	0.7603795938	0.7603795938
146	0.4199272264	0.7604419333	0.7604419333
147	0.4197920207	0.7605858594	0.7605858594
148	0.4196243229	0.7607278921	0.7607278921
149	0.4194761773	0.7609970193	0.7609970193
150	0.4193489672	0.7611104119	0.7611104119
151	0.4191874063	0.7612249756	0.7612249756
152	0.4190378506	0.7613339488	0.7613339488
153	0.4188724472	0.7614378902	0.7614378902
154	0.418696395	0.7617022367	0.7617022367
155	0.4185738053	0.7618982031	0.7618982031
156	0.4184232724	0.7621056104	0.7621056104
157	0.4183365622	0.7621886198	0.7621886198
158	0.4182187491	0.7623401097	0.7623401097
159	0.4180880255	0.7623865968	0.7623865968
160	0.4180067661	0.7624497886	0.7624497886
161	0.4178706056	0.7625833285	0.7625833285
162	0.4177776996	0.7626899826	0.7626899826
163	0.4176222389	0.7628587275	0.7628587275
164	0.4175031146	0.7630390794	0.7630390794
165	0.4173950835	0.7631488831	0.7631488831
166	0.4173138765	0.7632283716	0.7632283716
167	0.4171232423	0.7634093572	0.7634093572
168	0.4170276268	0.7635425005	0.7635425005
169	0.4169312313	0.7636076668	0.7636076668
170	0.4167975267	0.7637270962	0.7637270962
171	0.4166692038	0.7638249041	0.7638249041
172	0.4165852664	0.7639222433	0.7639222433
173	0.4164786835	0.7639010469	0.7639010469
174	0.4163927125	0.7640062673	0.7640062673
175	0.4162663142	0.7640765199	0.7640765199
176	0.4160133242	0.7643633488	0.7643633488
177	0.4159429929	0.7644406452	0.7644406452
178	0.4158442952	0.7645079059	0.7645079059
179	0.4157717931	0.7645319064	0.7645319064
180	0.4156885532	0.7646526329	0.7646526329
181	0.41553869	0.7648015134	0.7648015134
182	0.4154443887	0.7648613706	0.7648613706
183	0.415340981	0.764945523	0.764945523
184	0.4152232759	0.765067692	0.765067692
185	0.4151178722	0.7651530464	0.7651530464
186	0.4150175086	0.7652143762	0.7652143762
187	0.4149395341	0.7653363048	0.7653363048
188	0.4148072076	0.7653800901	0.7653800901
189	0.4147039343	0.7654994445	0.7654994445
190	0.4146026271	0.7656387644	0.7656387644
191	0.4144047338	0.7656771001	0.7656771001
192	0.4143096551	0.7657054398	0.7657054398
193	0.4142093757	0.7658256516	0.7658256516
194	0.4141185212	0.7659333831	0.7659333831
195	0.4140587052	0.766075659	0.766075659
196	0.4139270814	0.7661734541	0.7661734541
197	0.4138559552	0.7661908954	0.7661908954
198	0.4137648562	0.7663293285	0.7663293285
199	0.413667445	0.7663798164	0.7663798164
200	0.4135665981	0.7664466382	0.7664466382
201	0.4134267163	0.7664659949	0.7664659949
202	0.4133444804	0.7665723583	0.7665723583
203	0.4132440125	0.7667246459	0.7667246459
204	0.4131206208	0.7668595264	0.7668595264
205	0.4130542279	0.7668988813	0.7668988813
206	0.4129786213	0.7669967144	0.7669967144
207	0.4128923399	0.767049595	0.767049595
208	0.4127696846	0.7671606534	0.7671606534
209	0.4126797873	0.7672414687	0.7672414687
210	0.4125916352	0.7673504038	0.7673504038
211	0.4125096915	0.7673730379	0.7673730379
212	0.4124311823	0.7674868358	0.7674868358
213	0.4123562066	0.7675664636	0.7675664636
214	0.4122408912	0.7675998813	0.7675998813
215	0.4121706747	0.7677256777	0.7677256777
216	0.4120866321	0.7678277698	0.7678277698
217	0.4119939635	0.7678967714	0.7678967714
218	0.4119245322	0.7679018412	0.7679018412
219	0.4118261548	0.7679537123	0.7679537123
220	0.4117469668	0.7680407479	0.7680407479
221	0.4116673571	0.7681052596	0.7681052596
222	0.4115608096	0.7681191552	0.7681191552
223	0.4114663105	0.7682086359	0.7682086359
224	0.4113965283	0.7682484851	0.7682484851
225	0.4113148626	0.7683102039	0.7683102039
226	0.4112421942	0.7683393405	0.7683393405
227	0.4111456616	0.7684352496	0.7684352496
228	0.4110538088	0.768494807	0.768494807
229	0.4109808002	0.7685592931	0.7685592931
230	0.41091988	0.7686333894	0.7686333894
231	0.4108534065	0.7686692529	0.7686692529
232	0.410798066	0.7687115489	0.7687115489
233	0.4107372229	0.7687293977	0.7687293977
234	0.4106753109	0.7688189481	0.7688189481
235	0.410608578	0.7689150799	0.7689150799
236	0.410547718	0.768929018	0.768929018
237	0.4104788792	0.7690772638	0.7690772638
238	0.4103932708	0.7691861415	0.7691861415
239	0.4102910952	0.7692842146	0.7692842146
240	0.4102270996	0.7693748152	0.7693748152
241	0.4101667496	0.7694726316	0.7694726316
242	0.4100914121	0.7694774278	0.7694774278
243	0.4100442678	0.7695100484	0.7695100484
244	0.4099391731	0.7695885949	0.7695885949
