iter	Passed	Remaining
0	211	211300
1	354	177061
2	479	159394
3	608	151427
4	738	147019
5	865	143357
6	999	141840
7	1124	139491
8	1269	139768
9	1398	138451
10	1536	138108
11	1678	138237
12	1813	137709
13	1938	136499
14	2069	135869
15	2195	135049
16	2325	134449
17	2452	133806
18	2573	132867
19	2709	132781
20	2837	132275
21	2966	131876
22	3095	131487
23	3221	131025
24	3363	131195
25	3494	130906
26	3619	130430
27	3748	130109
28	3880	129938
29	4011	129690
30	4141	129450
31	4271	129207
32	4395	128793
33	4524	128560
34	4654	128319
35	4798	128483
36	4949	128808
37	5110	129376
38	5261	129655
39	5416	129999
40	5586	130666
41	5742	130983
42	5872	130694
43	6003	130438
44	6173	131017
45	6339	131484
46	6490	131603
47	6646	131819
48	6809	132166
49	6939	131856
50	7067	131515
51	7201	131295
52	7328	130943
53	7453	130578
54	7581	130266
55	7712	130003
56	7843	129765
57	7972	129488
58	8097	129152
59	8223	128828
60	8352	128570
61	8476	128238
62	8621	128227
63	8765	128198
64	8907	128128
65	9061	128227
66	9218	128376
67	9372	128453
68	9548	128841
69	9726	129229
70	9871	129163
71	10000	128888
72	10125	128574
73	10262	128423
74	10393	128180
75	10532	128050
76	10658	127759
77	10783	127471
78	10920	127316
79	11056	127152
80	11184	126896
81	11313	126653
82	11470	126725
83	11637	126905
84	11781	126820
85	11917	126662
86	12051	126471
87	12179	126226
88	12310	126005
89	12439	125772
90	12602	125888
91	12760	125935
92	12912	125931
93	13091	126177
94	13251	126237
95	13411	126288
96	13559	126230
97	13709	126185
98	13846	126014
99	13986	125877
100	14114	125634
101	14246	125424
102	14381	125248
103	14512	125030
104	14645	124831
105	14771	124583
106	14915	124482
107	15042	124235
108	15174	124043
109	15303	123817
110	15433	123609
111	15572	123467
112	15735	123514
113	15877	123398
114	16005	123175
115	16149	123070
116	16276	122841
117	16410	122657
118	16542	122471
119	16716	122590
120	16876	122599
121	17035	122603
122	17212	122729
123	17368	122697
124	17543	122802
125	17721	122927
126	17862	122785
127	17991	122567
128	18123	122372
129	18264	122230
130	18391	122000
131	18552	121994
132	18734	122126
133	18900	122145
134	19041	122005
135	19179	121846
136	19309	121635
137	19469	121612
138	19620	121532
139	19750	121327
140	19882	121129
141	20012	120921
142	20147	120746
143	20313	120753
144	20457	120626
145	20590	120438
146	20734	120313
147	20878	120192
148	21031	120119
149	21181	120031
150	21338	119977
151	21498	119941
152	21659	119907
153	21802	119769
154	21935	119585
155	22066	119383
156	22198	119195
157	22345	119081
158	22483	118924
159	22613	118719
160	22749	118553
161	22886	118389
162	23059	118411
163	23206	118298
164	23347	118152
165	23481	117974
166	23610	117769
167	23741	117576
168	23871	117380
169	24000	117176
170	24134	117004
171	24262	116796
172	24387	116581
173	24556	116574
174	24711	116498
175	24861	116398
176	25017	116322
177	25171	116240
178	25330	116180
179	25492	116130
180	25645	116040
181	25787	115903
182	25925	115745
183	26064	115589
184	26197	115412
185	26328	115221
186	26456	115021
187	26584	114822
188	26716	114639
189	26847	114455
190	26978	114271
191	27106	114072
192	27242	113908
193	27375	113737
194	27506	113550
195	27634	113357
196	27764	113172
197	27891	112976
198	28021	112788
199	28155	112623
200	28283	112431
201	28410	112234
202	28541	112057
203	28680	111910
204	28834	111820
205	28995	111757
206	29154	111688
207	29311	111607
208	29469	111533
209	29634	111482
210	29778	111351
211	29911	111182
212	30059	111063
213	30192	110894
214	30328	110734
215	30458	110552
216	30588	110372
217	30720	110199
218	30861	110058
219	31000	109911
220	31135	109747
221	31263	109562
222	31389	109370
223	31526	109218
224	31662	109059
225	31796	108896
226	31943	108775
227	32083	108633
228	32211	108449
229	32349	108300
230	32505	108212
231	32650	108084
232	32781	107911
233	32917	107754
234	33048	107584
235	33191	107449
236	33330	107302
237	33503	107267
238	33660	107179
239	33829	107126
240	33971	106989
241	34113	106852
242	34244	106679
243	34369	106490
244	34534	106422
245	34685	106313
246	34816	106139
247	34947	105970
248	35080	105804
249	35246	105739
250	35378	105571
251	35532	105470
252	35695	105394
253	35855	105307
254	35988	105143
255	36126	104991
256	36259	104827
257	36396	104675
258	36529	104509
259	36662	104346
260	36806	104214
261	36950	104081
262	37093	103947
263	37250	103851
264	37416	103779
265	37593	103735
266	37748	103632
267	37891	103494
268	38021	103323
269	38157	103165
270	38298	103025
271	38429	102856
272	38574	102724
273	38703	102551
274	38835	102384
