iter	F1	Logloss
0	0.687290295	0.6631031577
1	0.6850988088	0.6433597586
2	0.6910471732	0.6285277441
3	0.6957336993	0.6178337563
4	0.6993533161	0.6086201121
5	0.7041066162	0.6015379053
6	0.7061482873	0.596427229
7	0.7096279942	0.5918096732
8	0.7088373305	0.5884217312
9	0.7094565232	0.5845606431
10	0.7116919689	0.5819953068
11	0.7143046346	0.5793853007
12	0.7145891241	0.577349903
13	0.7152464932	0.5758740957
14	0.7161211555	0.5739352016
15	0.7165673056	0.5726976158
16	0.7173068186	0.5712155512
17	0.7174281074	0.5703577758
18	0.7187165918	0.5694689206
19	0.7190532869	0.568613356
20	0.7196020613	0.5672110456
21	0.7198520213	0.5663546638
22	0.7205344237	0.565195823
23	0.7208006088	0.5643622715
24	0.721051075	0.5638289759
25	0.7217455395	0.563202939
26	0.7221772287	0.5624208446
27	0.7226442998	0.5618287461
28	0.7229862738	0.5613888964
29	0.7231071388	0.5608137091
30	0.7234218427	0.5602147368
31	0.7237881511	0.5593318678
32	0.7243830496	0.5584741806
33	0.724506957	0.5580318436
34	0.7249638587	0.5574357188
35	0.7251680287	0.5569516869
36	0.7254119352	0.5565321827
37	0.7255309921	0.5560265851
38	0.7257085834	0.555535882
39	0.7257177764	0.5551975478
40	0.7261722079	0.554738216
41	0.726560876	0.5541787611
42	0.7268130375	0.5538738974
43	0.7271060569	0.5536023812
44	0.7273705545	0.5531470198
45	0.7276182234	0.5526582303
46	0.727945709	0.5522476479
47	0.7279379378	0.5519206749
48	0.7285715516	0.5513097342
49	0.728691503	0.5511893096
50	0.7290547227	0.5507605528
51	0.7292357182	0.5504532713
52	0.729336596	0.5503175941
53	0.7294618838	0.5501425801
54	0.7296421802	0.5499124518
55	0.7297151091	0.5496231393
56	0.7298693336	0.5492471891
57	0.7305513205	0.5484325158
58	0.7307451118	0.5481961228
59	0.7309233181	0.5479084477
60	0.7310530552	0.5477597532
61	0.7312755851	0.5474238469
62	0.7312222879	0.5471761754
63	0.7314609441	0.5469027419
64	0.7318576493	0.546462592
65	0.7320924004	0.5462295474
66	0.7324087251	0.5458604626
67	0.7326818846	0.5456086496
68	0.7327036954	0.5453770129
69	0.7328093663	0.5452053125
70	0.733101268	0.5448491083
71	0.7332697329	0.5446508324
72	0.7333136812	0.5445164815
73	0.7340472568	0.5433925528
74	0.7343002012	0.5430012137
75	0.734435712	0.542743537
76	0.7347549713	0.5421838338
77	0.73485448	0.5420504681
78	0.734874515	0.5418481908
79	0.73513917	0.5413801442
80	0.7352347558	0.5412432553
81	0.735430506	0.5409824949
82	0.7355168886	0.5407916631
83	0.7359477687	0.5403191235
84	0.73606825	0.5400308473
85	0.7362495225	0.539773782
86	0.7363592144	0.5394021383
87	0.7366113793	0.5390280558
88	0.7367869744	0.5387363484
89	0.7375019761	0.5381490383
90	0.7378148893	0.5377527396
91	0.7379040568	0.5374996549
92	0.7379890399	0.5373719274
93	0.7382884631	0.5370127713
94	0.7384132213	0.5366884255
95	0.7387573462	0.5364065631
96	0.7390377253	0.535938462
97	0.739160561	0.5356665045
98	0.7392305503	0.5354778845
99	0.7394204234	0.5352463347
100	0.7395577372	0.5350405675
101	0.7396240733	0.5348747127
102	0.7398142132	0.5345728245
103	0.7399181395	0.5343961178
104	0.7399913174	0.5343005124
105	0.7399567927	0.5342155218
106	0.7403203102	0.5338405406
107	0.7404035042	0.5336852696
108	0.7405284807	0.5334889968
109	0.7409293041	0.533102566
110	0.7409310426	0.5329664985
111	0.7410198187	0.5328168411
112	0.7411264278	0.5326977456
113	0.7414337686	0.5324298054
114	0.7415712879	0.532110294
115	0.7416327885	0.5318789347
116	0.7417784979	0.5316229796
117	0.7419847563	0.5310936448
118	0.7422231644	0.5308319782
119	0.7425189101	0.5305130234
120	0.7428823037	0.5301812178
121	0.7430394259	0.5299171481
122	0.7431863837	0.5296687096
123	0.7432374097	0.5295356359
124	0.7435326317	0.529209104
125	0.7438996772	0.5289055147
126	0.743972646	0.5287935278
127	0.744125389	0.5285583546
128	0.7443036128	0.5282069255
129	0.7445115911	0.5280111569
130	0.744621073	0.5278683959
131	0.7446058603	0.5277689221
132	0.7446845695	0.5275776471
133	0.7454348676	0.5270297232
134	0.7454520134	0.526938157
135	0.7459822329	0.5265337198
136	0.7462329306	0.5262919147
137	0.746277022	0.5261387424
138	0.7466855247	0.5258590949
139	0.7471992048	0.5255552187
140	0.7472753965	0.5252292815
141	0.7473264469	0.5250973041
142	0.7473928847	0.5249692828
143	0.7475643844	0.5248063792
144	0.7475990379	0.5246516495
145	0.7477997897	0.5243549701
146	0.7479232089	0.5241725413
147	0.7482628091	0.5239270162
148	0.7483336533	0.5237950588
149	0.7487702794	0.5234043908
150	0.7490973378	0.5232083466
151	0.7491391186	0.5230397395
152	0.7492297811	0.5228840552
153	0.7492739277	0.5227090004
154	0.7493320558	0.5225223258
155	0.7494899394	0.5222068138
156	0.7498744518	0.5218459819
157	0.7499119006	0.5217565718
158	0.7502911585	0.5214006588
159	0.7504707465	0.5211575224
160	0.7506139948	0.5209608338
161	0.7507992832	0.520671984
162	0.7508931502	0.5204887347
163	0.7509637092	0.5204037395
164	0.7510043052	0.5203055417
165	0.7511441999	0.5201338644
166	0.7511605583	0.5200305717
167	0.7513933627	0.5197683946
168	0.7515078083	0.5195750817
169	0.7515843922	0.5193578748
170	0.7518591592	0.5190334867
171	0.7519371207	0.5188857704
172	0.7519868889	0.518798588
173	0.7520831251	0.5186221494
174	0.7521355859	0.5184982471
175	0.7522145665	0.518329192
176	0.7522928375	0.51823317
177	0.7523801378	0.5180159031
178	0.7524056735	0.5179713518
179	0.7524286825	0.5178736184
180	0.7526098502	0.5175549989
181	0.7526809961	0.5174143627
182	0.7527675206	0.5172352104
183	0.7528356883	0.5171456188
184	0.7530018637	0.5169538586
185	0.7531205884	0.5167797402
186	0.7531203202	0.5167059784
187	0.7531703582	0.5165676575
188	0.7531623955	0.516419601
189	0.7532226164	0.5163393219
190	0.7532117726	0.516249538
191	0.7532556499	0.5161210418
192	0.7533843517	0.5158453812
193	0.7536275131	0.5156272689
