iter	Passed	Remaining
0	67	67446
1	129	64633
2	181	60339
3	253	63046
4	311	61904
5	371	61562
6	431	61145
7	488	60519
8	537	59215
9	596	59044
10	654	58864
11	712	58645
12	769	58443
13	822	57956
14	875	57480
15	926	56963
16	976	56439
17	1033	56379
18	1082	55866
19	1137	55734
20	1191	55541
21	1246	55421
22	1303	55358
23	1356	55166
24	1414	55155
25	1484	55629
26	1549	55855
27	1623	56372
28	1692	56674
29	1746	56471
30	1803	56378
31	1871	56623
32	1933	56656
33	1990	56567
34	2044	56360
35	2098	56189
36	2154	56072
37	2208	55921
38	2266	55841
39	2323	55774
40	2384	55763
41	2441	55696
42	2497	55584
43	2557	55566
44	2617	55555
45	2676	55503
46	2733	55421
47	2792	55382
48	2851	55344
49	2918	55450
50	2989	55631
51	3056	55720
52	3120	55749
53	3196	56002
54	3256	55954
55	3315	55887
56	3374	55825
57	3434	55784
58	3494	55741
59	3555	55697
60	3614	55646
61	3672	55556
62	3728	55459
63	3786	55380
64	3845	55313
65	3895	55130
66	3954	55061
67	4010	54962
68	4067	54885
69	4124	54798
70	4182	54726
71	4239	54638
72	4297	54568
73	4354	54489
74	4409	54381
75	4472	54376
76	4533	54343
77	4590	54256
78	4644	54143
79	4701	54067
80	4758	53992
81	4818	53939
82	4878	53900
83	4942	53893
84	4998	53804
85	5057	53749
86	5115	53683
87	5172	53605
88	5230	53539
89	5282	53412
90	5340	53349
91	5397	53268
92	5455	53210
93	5514	53154
94	5575	53118
95	5632	53036
96	5691	52984
97	5757	52992
98	5816	52933
99	5872	52854
100	5928	52772
101	5980	52649
102	6059	52770
103	6120	52734
104	6175	52636
105	6230	52550
106	6281	52426
107	6337	52344
108	6395	52277
109	6451	52197
110	6507	52121
111	6561	52022
112	6620	51969
113	6671	51848
114	6727	51776
115	6786	51717
116	6847	51675
117	6905	51612
118	6963	51555
119	7019	51478
120	7075	51398
121	7134	51342
122	7182	51209
123	7234	51105
124	7288	51021
125	7340	50914
126	7398	50855
127	7456	50794
128	7514	50734
129	7582	50744
130	7647	50727
131	7704	50664
132	7765	50621
133	7822	50551
134	7880	50492
135	7935	50412
136	8007	50439
137	8072	50421
138	8130	50361
139	8179	50247
140	8235	50170
141	8292	50107
142	8352	50057
143	8408	49986
144	8468	49934
145	8529	49890
146	8588	49834
147	8647	49781
148	8704	49715
149	8753	49604
150	8809	49529
151	8861	49439
152	8917	49364
153	8973	49296
154	9031	49238
155	9089	49178
156	9141	49086
157	9196	49010
158	9251	48936
159	9307	48864
160	9367	48817
161	9421	48733
162	9472	48641
163	9528	48574
164	9587	48519
165	9643	48451
166	9693	48349
167	9748	48278
168	9804	48210
169	9868	48181
170	9924	48115
171	9979	48040
172	10039	47992
173	10094	47920
174	10153	47864
175	10209	47798
176	10266	47734
177	10320	47659
178	10384	47631
179	10451	47611
180	10513	47573
181	10564	47480
182	10619	47408
183	10679	47360
184	10737	47302
185	10789	47220
186	10843	47142
187	10901	47083
188	10959	47027
189	11015	46961
190	11068	46881
191	11127	46826
192	11185	46769
193	11242	46709
194	11292	46618
195	11350	46562
196	11407	46498
197	11470	46461
198	11523	46382
199	11575	46302
200	11635	46253
201	11692	46189
202	11756	46157
203	11818	46116
204	11879	46070
205	11937	46012
206	11994	45950
207	12051	45886
208	12107	45823
209	12163	45756
210	12212	45667
211	12267	45599
212	12323	45533
213	12378	45465
214	12437	45411
215	12493	45345
216	12550	45285
217	12607	45225
218	12664	45164
219	12722	45106
220	12778	45043
221	12827	44953
222	12886	44901
223	12946	44850
224	13005	44796
225	13061	44731
226	13119	44677
227	13188	44654
228	13245	44593
229	13303	44539
230	13361	44481
231	13420	44426
232	13480	44374
233	13538	44318
234	13588	44236
235	13638	44152
236	13693	44086
237	13749	44021
238	13807	43963
239	13860	43891
240	13921	43842
241	13975	43775
242	14031	43711
243	14080	43626
244	14136	43563
245	14185	43479
246	14242	43418
247	14298	43356
248	14361	43316
249	14420	43261
250	14476	43199
251	14530	43130
252	14578	43045
253	14638	42992
254	14698	42943
255	14757	42888
256	14817	42839
257	14871	42770
258	14928	42709
259	14981	42638
260	15038	42579
261	15101	42536
262	15161	42486
263	15219	42430
264	15277	42372
