iter	F1	Logloss
0	0.6904320754	0.6635982443
1	0.6878034531	0.6425892646
2	0.6881278715	0.6267643896
3	0.6970550027	0.6162183681
4	0.6991620481	0.6075810989
5	0.7030856479	0.6009729714
6	0.7025569227	0.5960507288
7	0.7061645365	0.5914666011
8	0.7058895996	0.5873208262
9	0.7075133627	0.5836368629
10	0.70940009	0.5815549592
11	0.7103938095	0.5791426241
12	0.7112676389	0.5771189173
13	0.7121528073	0.575104784
14	0.7130677792	0.5728909777
15	0.7141520664	0.5715211957
16	0.7138344317	0.5705915092
17	0.7151810585	0.5690943498
18	0.7163856601	0.5674495004
19	0.7171772849	0.566090027
20	0.7181372318	0.5650935674
21	0.7187384809	0.564156325
22	0.7193420151	0.5633130116
23	0.7194455378	0.5626858254
24	0.7198515639	0.5619467121
25	0.7205633743	0.5611864963
26	0.7207065755	0.560785154
27	0.7208883377	0.5604067671
28	0.7210971914	0.5599296033
29	0.7214946895	0.5595061207
30	0.7222140449	0.5585293954
31	0.7221809141	0.5582558715
32	0.7222425905	0.5578222441
33	0.7227852309	0.5569890793
34	0.7232379857	0.5563193474
35	0.7234153445	0.5558488459
36	0.7245868071	0.5548091665
37	0.7248795678	0.554246546
38	0.7253780673	0.5537864562
39	0.7257107846	0.5531992124
40	0.7260084433	0.5526712169
41	0.7265363471	0.5520324056
42	0.7268897019	0.5515987776
43	0.7269882082	0.550973946
44	0.7274987756	0.5505303662
45	0.7278887149	0.550072262
46	0.7279327465	0.5498613953
47	0.7288083336	0.5484878717
48	0.7291651234	0.5478917952
49	0.7294281779	0.5474007737
50	0.7294782617	0.5470888884
51	0.7295486161	0.5467156103
52	0.7297781595	0.546279794
53	0.7300325619	0.5457375211
54	0.7303296287	0.5454131527
55	0.7304102632	0.5451725976
56	0.730747562	0.5446769281
57	0.7306668616	0.54449882
58	0.7307502279	0.5442662565
59	0.730952746	0.5439542801
60	0.7310303025	0.5437868687
61	0.7311254998	0.543618987
62	0.7312148889	0.5433735766
63	0.7316023902	0.5430770249
64	0.7317701301	0.5428491335
65	0.7317464941	0.5427194202
66	0.7318874433	0.5423913281
67	0.732267342	0.5418694057
68	0.732803271	0.5412817398
69	0.7329925749	0.540969676
70	0.7331358984	0.5407446795
71	0.7333452166	0.5403795225
72	0.7334765418	0.5401477117
73	0.7337825031	0.5398259536
74	0.7339954026	0.5396797261
75	0.7340926179	0.5393548279
76	0.7348350688	0.538698489
77	0.7350280459	0.5384904453
78	0.7352047573	0.5380944047
79	0.7354045685	0.5378428268
80	0.7354909529	0.5377344363
81	0.7356332423	0.5374125755
82	0.736377418	0.5368288135
83	0.7365521248	0.5364730767
84	0.7367560659	0.535932767
85	0.7367834137	0.5357168626
86	0.7369649548	0.5355276435
87	0.7373080955	0.5350842542
88	0.7374509023	0.5348158463
89	0.737824799	0.5343503693
90	0.7380745839	0.5338591468
91	0.7383027111	0.5335555377
92	0.738391399	0.5333698448
93	0.7384460473	0.5332705417
94	0.7385398359	0.533055404
95	0.7391969326	0.532537362
96	0.739203677	0.5323578631
97	0.7395113762	0.5319414282
98	0.7395549482	0.5317822004
99	0.7406951147	0.5309574735
100	0.7407954787	0.5307640069
101	0.7406886094	0.5305373301
102	0.7409158288	0.530295554
103	0.7416628119	0.5296225724
104	0.7419186499	0.5292981788
105	0.7420358873	0.5290709895
106	0.7429266607	0.5284325554
107	0.7431147502	0.5281653534
108	0.7431947004	0.5279656585
109	0.7433525245	0.5277985375
110	0.7435683783	0.527455104
111	0.7435362635	0.5272069201
112	0.7435362057	0.526967566
113	0.7437227252	0.5266525881
114	0.743792408	0.5264603717
115	0.7438993472	0.5261650134
116	0.744035545	0.5258839578
117	0.7440510187	0.5257442628
118	0.7440705104	0.5256222407
119	0.7440949268	0.5254707458
120	0.7442005995	0.5253154156
121	0.7443679599	0.5252037455
122	0.7444454057	0.524997325
123	0.744564206	0.5248417596
124	0.744704584	0.5245849938
125	0.7448678475	0.5244363254
126	0.7450417543	0.5240341524
127	0.7453096269	0.5237155511
128	0.7456459126	0.5234547706
129	0.7459797089	0.5230884495
130	0.7462006223	0.5227916759
131	0.7466147613	0.5222825018
132	0.7468873861	0.5219143446
133	0.7469121962	0.5217453548
134	0.7469318422	0.5215612526
135	0.7474105269	0.5210317807
136	0.747527138	0.520810268
137	0.7484795175	0.5202992955
138	0.7484531972	0.5201202602
139	0.7487386143	0.5198772644
140	0.7489621458	0.5194691879
141	0.7490477101	0.519339373
142	0.7491349132	0.5192284434
143	0.7496151404	0.5188692259
144	0.749711288	0.5187289957
145	0.7498089111	0.518546961
146	0.7498412585	0.5184100564
147	0.7499086036	0.5182622115
148	0.7501053759	0.5180216968
149	0.7501463858	0.517784099
150	0.750192421	0.5176830312
151	0.750287143	0.5174905773
152	0.7503259839	0.5173743299
153	0.7507172988	0.5170606597
154	0.7509666108	0.5167713064
155	0.7510643656	0.5166447938
156	0.7511098387	0.5165293437
157	0.7511527691	0.5162489775
158	0.7514886167	0.5160133867
159	0.7516394669	0.5156858036
160	0.7518437379	0.5155399687
161	0.7520041806	0.5152719068
162	0.7520927758	0.5151941619
163	0.7521286717	0.5149722328
164	0.7523785542	0.5147402847
165	0.7523814501	0.514623603
166	0.7526664283	0.5142541446
167	0.7527059556	0.5141742745
168	0.7527513397	0.5139749039
169	0.7528378571	0.5137971211
170	0.7528366071	0.5136823051
171	0.753038584	0.5133747151
172	0.7530790073	0.513228417
173	0.753245487	0.5127928897
174	0.7534152404	0.5125541264
175	0.7538010764	0.5123589066
176	0.7538996593	0.5122778545
177	0.7539300884	0.5121000233
178	0.7539846336	0.511933666
179	0.7540439059	0.5117834878
180	0.7542420764	0.5115050872
181	0.7545611204	0.5112827977
182	0.7545885632	0.5111637836
183	0.7546478833	0.5110546981
184	0.7547416597	0.5108283301
185	0.7547715903	0.510686383
186	0.7548393618	0.5104712549
187	0.7548398146	0.5103993443
188	0.7549253291	0.5102997062
189	0.7549151498	0.510178814
190	0.7551436683	0.5099978124
191	0.7552246616	0.5098889999
192	0.7552877565	0.5098068012
193	0.7553477971	0.5096389166
194	0.7554391855	0.5094624666
195	0.7556074272	0.509321181
196	0.7556095396	0.5091446143
197	0.7556181179	0.5089329136
198	0.75562753	0.5088022785
199	0.7557784328	0.5085479014
200	0.7559453421	0.5083496444
201	0.7560032366	0.508187656
202	0.7560163141	0.5081050481
203	0.7560719012	0.5080086531
204	0.7561310075	0.5078576924
205	0.7562528119	0.5077507506
206	0.7562787752	0.5076223624
207	0.7563788144	0.5074156359
208	0.7564155067	0.5073144983
209	0.7564163311	0.5071928646
210	0.7565675423	0.5068515878
211	0.7565690145	0.5067123047
212	0.756544166	0.5065455673
213	0.7565764798	0.5064636866
214	0.7566459781	0.5063601428
215	0.7566208012	0.5063063765
216	0.7567147788	0.5061495546
217	0.7567563704	0.5059314124
218	0.7569190087	0.5057489808
219	0.757006863	0.5055034438
220	0.7571412235	0.505380733
221	0.7574111531	0.5051278593
222	0.7575972371	0.5049044992
223	0.757700927	0.5047888465
224	0.7577192339	0.5047028175
225	0.7578038621	0.5046080478
226	0.7578816416	0.5044407933
227	0.7579268031	0.5043374064
228	0.7579540321	0.5042541669
229	0.7580455023	0.5041797288
230	0.7581018546	0.5041263036
231	0.7582229745	0.5039848773
232	0.7583057478	0.5038821795
233	0.7583139731	0.503764864
234	0.7582993191	0.5036531751
235	0.7585585414	0.5034644592
236	0.7586135383	0.5033290449
237	0.7587448799	0.5031253709
238	0.7587572985	0.5029142886
239	0.7587838426	0.5027909741
240	0.7588372085	0.5025413681
241	0.7588613586	0.5023789622
242	0.7590163778	0.5022306505
243	0.7590816048	0.5020422917
244	0.7591796055	0.5019774866
245	0.7591900193	0.5018165881
246	0.759384925	0.5016597767
247	0.7593896406	0.5015626826
248	0.7594815399	0.5014816173
249	0.7594620143	0.5014372846
250	0.7595197476	0.5013374964
251	0.7595801451	0.5011943107
252	0.7596415465	0.5010791992
253	0.7596071413	0.5009846183
254	0.759611945	0.5008295808
255	0.7597346932	0.5007026321
256	0.7597257716	0.5005536725
257	0.7597152329	0.500436612
258	0.7598415526	0.5002854412
259	0.7599004823	0.5001731701
260	0.7600092549	0.5000710313
261	0.7600800488	0.4998571771
262	0.7601458324	0.499781633
263	0.7601881943	0.4997254774
264	0.7602175969	0.4996274559
265	0.7602236647	0.4995565889
266	0.7603222582	0.4994578416
267	0.7603046296	0.4994055211
268	0.7603212322	0.4993298507
269	0.7603765031	0.4992522527
270	0.7603971925	0.4991925079
271	0.7604587597	0.4991127054
272	0.7605133136	0.4989944449
273	0.7605558869	0.4989342006
274	0.7605973467	0.4988316583
275	0.7606970526	0.4987402394
276	0.7608040093	0.4986226332
277	0.7608414656	0.498569867
278	0.7608474	0.4984679846
279	0.7608744911	0.4983567357
280	0.761049302	0.4981652759
281	0.7611495586	0.4980975492
282	0.7612391855	0.4979392139
283	0.7612972496	0.4979045959
284	0.7613886201	0.4977919556
285	0.7614490316	0.4976739201
286	0.761510957	0.4975893644
287	0.7616048046	0.4974225613
288	0.7616480573	0.4973336045
