iter	Passed	Remaining
0	157	157052
1	222	110842
2	283	94194
3	341	85054
4	396	78949
5	460	76301
6	513	72800
7	561	69627
8	607	66940
9	654	64830
10	710	63897
11	755	62218
12	806	61256
13	851	59994
14	899	59087
15	956	58796
16	1017	58831
17	1071	58469
18	1131	58417
19	1177	57692
20	1224	57087
21	1276	56743
22	1323	56210
23	1368	55665
24	1415	55203
25	1457	54582
26	1502	54162
27	1551	53844
28	1603	53697
29	1655	53538
30	1709	53425
31	1758	53182
32	1804	52877
33	1851	52614
34	1899	52384
35	1946	52113
36	1990	51806
37	2037	51589
38	2083	51342
39	2128	51093
40	2174	50863
41	2217	50590
42	2263	50384
43	2311	50232
44	2361	50109
45	2401	49811
46	2452	49726
47	2498	49551
48	2549	49475
49	2597	49353
50	2643	49182
51	2687	49003
52	2741	48984
53	2789	48870
54	2833	48677
55	2883	48611
56	2930	48473
57	2974	48306
58	3022	48209
59	3071	48113
60	3120	48031
61	3185	48186
62	3233	48087
63	3285	48045
64	3335	47979
65	3382	47869
66	3423	47668
67	3472	47593
68	3520	47504
69	3567	47398
70	3614	47291
71	3662	47200
72	3711	47131
73	3761	47071
74	3807	46956
75	3849	46805
76	3897	46722
77	3944	46624
78	3996	46589
79	4043	46498
80	4088	46392
81	4131	46254
82	4177	46155
83	4226	46087
84	4272	45989
85	4314	45856
86	4362	45785
87	4413	45739
88	4456	45611
89	4504	45549
90	4547	45422
91	4598	45381
92	4650	45350
93	4691	45220
94	4736	45125
95	4784	45049
96	4829	44961
97	4871	44833
98	4917	44749
99	4964	44683
100	5012	44612
101	5063	44581
102	5112	44519
103	5160	44461
104	5203	44351
105	5250	44284
106	5298	44222
107	5343	44129
108	5389	44053
109	5431	43948
110	5470	43813
111	5515	43726
112	5568	43708
113	5609	43599
114	5657	43536
115	5704	43470
116	5747	43373
117	5789	43277
118	5835	43202
119	5876	43093
120	5923	43030
121	5968	42955
122	6014	42884
123	6059	42808
124	6107	42753
125	6152	42674
126	6198	42605
127	6244	42541
128	6288	42457
129	6329	42358
130	6378	42309
131	6423	42239
132	6471	42183
133	6519	42130
134	6560	42038
135	6609	41992
136	6655	41927
137	6712	41928
138	6775	41971
